lending_medium,digital_onboarding,first_time_borrower,urban_flag,loan_count,default_rate_pct,avg_mobile_score,avg_upi_transactions
Bank,0,0,0,2161,22.67,649.14,44.96
Bank,0,0,1,4155,22.48,649.78,44.94
Bank,1,0,0,5128,22.23,650.52,44.96
Bank,1,1,1,5185,22.08,651.8,45.02
Bank,1,0,1,9568,21.57,649.32,45.0
Bank,1,1,0,2905,21.2,649.64,44.79
Bank,0,1,1,2300,21.13,648.9,45.0
Bank,0,1,0,1179,19.76,653.2,44.89
Microfinance,1,1,1,106882,1.62,649.64,45.02
Microfinance,1,0,0,107002,1.57,650.23,44.98
Microfinance,0,1,0,24694,1.56,649.2,45.0
Microfinance,0,1,1,45733,1.55,649.49,44.94
Microfinance,1,1,0,57649,1.55,650.16,44.99
Microfinance,0,0,0,46089,1.54,649.2,45.02
Microfinance,1,0,1,198451,1.52,649.77,44.98
Microfinance,0,0,1,84705,1.5,650.28,44.97
P2P,1,1,1,6242,15.0,649.86,44.98
P2P,1,1,0,3428,14.88,649.34,45.2
P2P,1,0,0,6175,14.79,648.9,44.86
P2P,0,0,1,4951,14.5,651.8,44.97
P2P,0,0,0,2670,14.34,649.63,45.0
P2P,0,1,0,1437,14.34,649.0,45.14
P2P,1,0,1,11750,14.23,650.09,44.98
P2P,0,1,1,2599,12.62,648.21,45.12
SME,1,1,0,1908,35.01,648.81,44.93
SME,0,1,0,843,34.76,648.34,44.98
SME,0,0,0,1590,34.72,650.5,44.81
SME,0,0,1,2689,34.55,650.33,44.96
SME,0,1,1,1583,33.67,648.5,45.02
SME,1,1,1,3532,33.27,648.42,45.09
SME,1,0,1,6528,32.57,649.93,44.84
SME,1,0,0,3429,32.05,649.84,45.06
