lending_medium,loan_size,total_loans,default_rate_pct,total_exposure,total_loss,loss_ratio_pct
SME,Small,173,45.66,1959182.06,586219.86,29.92
SME,Micro,30,43.33,149834.0,41965.38,28.01
SME,Medium,454,42.07,12136093.31,3288715.13,27.1
Bank,Medium,4929,32.34,105218000.0,22515195.16,21.4
SME,Large,21445,33.07,7225553438.24,1527303740.32,21.14
Bank,Small,18163,19.67,174247325.0,23421495.19,13.44
Bank,Micro,9489,20.46,32965975.0,4354554.35,13.21
P2P,Medium,8941,18.31,199388775.0,24189775.8,12.13
P2P,Micro,9534,13.81,33436100.0,2966233.42,8.87
P2P,Small,20777,13.05,204331725.0,17571038.93,8.6
Microfinance,Small,9456,5.99,64219925.0,3230012.16,5.03
Microfinance,Micro,661626,1.49,496812525.0,8887082.48,1.79
Microfinance,Large,56,0.0,2758225.0,0.0,0.0
Microfinance,Medium,67,0.0,1630475.0,0.0,0.0
